name,anime_count_score,shared_10s_score,global_user_mean_diff_score,user_mean_diff_score,pearson_score,final_score
sushiisawesome,56.552819737427704,22.5,-2.613220742889709,-4.876288659793815,30.72165651665223,102.28496685139642
Mopy,21.363791022133277,15.0,-5.0,-0.650684931506845,71.55985169221807,102.27295778284451
PriusKiller2,22.82196803090515,15.0,-5.0,-4.076433121019107,73.40198920832361,102.14752411820966
Stonedtanuki,45.14935639807075,26.25,-3.196807903152134,-8.693181818181813,42.63259273159145,102.14195940832826
Raycenerr,43.96790896063231,7.5,-2.2305645876441105,-2.897058823529413,55.69585205773423,102.03613760719301
Settonn,40.166148514352535,15.0,-4.129807453107119,-4.828382838283822,55.77054198146793,101.97850020442952
Vinithelas,50.50370411574202,15.0,-1.4680107856354994,-7.404878048780489,45.187814655820794,101.81862993714682
Cosmia45,36.79605992575945,18.75,-3.2820351758794004,-5.477941176470594,54.94907995564523,101.73516352905469
Kobra,22.029229159033232,15.0,-5.0,-0.2649006622516481,69.95005352543664,101.71438202221823
RadicalWasabi,31.365135206102742,18.75,-1.0737018425460718,-10.0,62.6460543391427,101.68748770269937
Lpopo4lyfe,25.418837239384732,11.25,-5.0,-1.2711864406779654,71.25297757620703,101.6506283749138
Tetraika,23.60839392924105,26.25,-5.0,-1.9325153374233253,58.698196458552154,101.62407505036987
Bweeb,28.689901705559834,11.25,-2.761714978835059,-4.8029556650246406,69.15224900818276,101.5274800698829
1Waz,29.30536213529961,18.75,-4.748381329725561,-5.55288461538462,63.74096607651661,101.49506226670604
YurriAnime,47.062320140147975,7.5,-1.549954071432424,-8.27956989247312,56.71525721868096,101.44805339492339
Emiyasmaster,16.16319175450115,11.25,-5.0,-8.481481481481481,87.48833119480851,101.42004146782818
ApolloChronicles,40.27205528345243,15.0,-4.548482544300455,-0.6085526315789451,51.29723134825991,101.41225145583294
AndrewPrince,40.377786692176336,18.75,-1.948018782436776,-10.0,54.193459497074855,101.37322740681441
Sky,39.31258138801734,7.5,-3.4748317860488953,-0.38983050847457434,58.35076074734563,101.2986798408395
GabrielGSM,41.321478153771366,11.25,-3.1427039656883125,-6.697452229299373,58.54670423770044,101.27802619648412
Unapathetic,32.553092773462154,15.0,-5.0,-10.0,68.6230567680894,101.17614954155155
Hades,52.463631744573995,11.25,-0.14030893497510277,-10.0,47.58648785148991,101.15981066108881
Kawtsun,31.604129602582635,7.5,-1.8035109468045079,-10.0,73.74170171289069,101.04232036866881
Distracc,37.46148716465493,22.5,-5.0,-6.4208633093525265,52.439826769819035,100.98045062512145
SaroArsten,52.463631744573995,18.75,-1.2569197024382959,-10.0,41.01799360390753,100.97470564604323
Gaiyon,50.41638554649819,7.5,-0.27011586047597547,-10.0,53.294759821252185,100.94102950727441
Chunchunmaru787,23.346953404633087,7.5,-2.400823995755175,-3.16770186335404,75.57499863905936,100.85342618458323
GeneralMills,55.34511183560705,18.75,-1.7908304850478487,-4.808102345415783,33.32799296054139,100.8241719656848
Cobaltexe,55.34511183560705,7.5,-2.3878454104209794,-3.550106609808097,43.711517393771764,100.61867720914974
ShiroPure,24.25892643418095,11.25,-5.0,-5.291666666666671,75.39825433663741,100.61551410415169
Kyokino,33.0233657098779,22.5,-4.210382456214134,-7.887029288702919,57.05928287065733,100.48523683561817
MajorApplePie,21.363791022133277,26.25,-5.0,-3.0821917808219155,60.91586390863657,100.44746314994794
ZNote,42.04564022062258,22.5,-2.2014276992438795,-1.682242990654217,39.71303093213952,100.375000462864
KamiDouga,57.28484032718554,15.0,-0.5989543677985978,-10.0,38.585355241662526,100.27124120104948
Anim3Life,42.76120962904977,11.25,-0.8277668831964746,-10.0,57.03590692148432,100.21934966733761
Martinch,31.72336376025858,7.5,-3.336859737282907,-0.2631578947368354,64.5285987097651,100.15194483800394
Yaruya0,20.42481249468132,15.0,-5.0,-1.4388489208633075,71.07126673951686,100.05723031333487
collapsedblock6,45.63417334769009,18.75,-3.9840659882043354,-3.2072829131652583,42.824257486798196,100.01708193311867
KrenZane,39.41989104012524,22.5,-4.363116256960481,-1.4831081081081123,43.928629009991944,100.0022956850486
DrSoloco,26.437944560664498,15.0,-3.3800081488523688,-4.383783783783784,66.22724018503702,99.90139281306537
GintokiSakata3,29.0597040445317,15.0,-3.34878274869493,-8.626213592233015,67.7764016711485,99.86110937475226
Fund,23.738851150981034,15.0,-5.0,-4.0,70.11543096370495,99.85428211468599
SenPiee,47.71528589434294,18.75,-2.317325413346424,-5.8047493403693835,41.43397458949918,99.77718573012632
Ufokoira,45.05186692701888,11.25,-4.028117796962022,-7.165242165242162,54.59466359133983,99.70317055615453
Shuryu,21.630492358021257,15.0,-5.0,-2.432432432432435,70.30285759511435,99.50091752070317
Bigyoshii,27.445828817880226,18.75,-5.0,-1.2331606217616553,59.51130750885146,99.47397570497003
kuroooo013,35.44626652736042,11.25,-4.9070351758794,-10.0,67.63318244508072,99.42241379656174
4digitmen,32.553092773462154,3.75,-0.9121137602908149,-1.4893617021276597,65.38761234950752,99.2892296605512
IustinMakihige,34.647225579956945,11.25,-4.272647824100744,-7.312252964426875,64.85078588131411,99.16311067274344
MattY25,36.460978941235695,18.75,-5.0,-7.211895910780669,56.13264489068901,99.13172792114403
Jokersenpai,50.937666556321176,18.75,-2.5395652963613315,-10.0,41.9539343269991,99.10203558695895
Hiecchi,50.937666556321176,22.5,-1.4311315614215658,-4.2530120481927725,31.297263415916305,99.05078636262314
RideIsAfraid,30.28098008333123,18.75,-2.7264796203238433,-6.236111111111114,58.87774666016912,98.9461360120654
jousuke,29.794573992323418,18.75,-5.0,-5.882075471698116,61.11606641168634,98.77856493231164
cellico,27.1949099158323,18.75,-2.375621563313956,-10.0,65.2032259340638,98.77251428658214
Gogtoto,30.402143205143176,15.0,-5.0,-0.7834101382488399,59.12880490733805,98.74753797423239
josephyhu,46.11460628790939,15.0,-5.0,-8.679558011049735,51.29426137801578,98.72930965487544
VintageOwl2,17.140223483545235,15.0,-5.0,-9.739130434782595,81.25857763725912,98.65967068602177
JayGreene,61.857837691724946,11.25,-2.213772764531882,-10.0,37.747816325009765,98.64188125220282
Kuro,42.14839050295447,15.0,-3.6585879709104603,-6.599378881987576,51.72793450740456,98.61835815746099
Nisx,48.45101084800572,15.0,-3.7067767779465868,-4.405684754521957,43.147050400893896,98.48559971643107
ACasualViewer,51.11002400992083,7.5,-2.4981622742007374,-8.80095923261392,51.15551020087578,98.46641270398194
Wokkel,22.029229159033232,15.0,-5.0,-10.0,76.40916805365853,98.43839721269177
