brettyoshi9,Tokyo Godfathers,759,50,COMPLETED
brettyoshi9,Log Horizon: Entaku Houkai,114862,80,COMPLETED
brettyoshi9,Hotaru no Haka,578,65,COMPLETED
brettyoshi9,Jinrui wa Suitai Shimashita,10357,85,COMPLETED
brettyoshi9,Kimi ga Nozomu Eien,147,50,COMPLETED
brettyoshi9,Onkyou Seimeitai Noiseman,1978,45,COMPLETED
brettyoshi9,Fune wo Amu,21703,45,COMPLETED
brettyoshi9,Sanctuary,2698,45,COMPLETED
brettyoshi9,Carnival Phantasm,10012,75,COMPLETED
brettyoshi9,Moyashimon,3001,55,COMPLETED
brettyoshi9,Quanzhi Gaoshou Specials,101410,70,COMPLETED
brettyoshi9,Quanzhi Gaoshou: Dianfeng Rongyao,108981,65,COMPLETED
brettyoshi9,VINLAND SAGA,101348,75,COMPLETED
brettyoshi9,Boogiepop wa Warawanai: Boogiepop Phantom,369,60,COMPLETED
brettyoshi9,Sonic the Hedgehog,2263,60,COMPLETED
brettyoshi9,Kidou Keisatsu Patlabor,1288,40,COMPLETED
brettyoshi9,Promare,99425,20,COMPLETED
brettyoshi9,Promare: SIDE Lio,111789,20,COMPLETED
brettyoshi9,Promare: SIDE Galo,110261,20,COMPLETED
brettyoshi9,Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari,11981,85,COMPLETED
brettyoshi9,Detonator Orgun,1178,45,COMPLETED
brettyoshi9,Mob Psycho 100 II,101338,70,COMPLETED
brettyoshi9,Mob Psycho 100: Daiikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,109819,65,COMPLETED
brettyoshi9,3-gatsu no Lion 2,98478,85,COMPLETED
brettyoshi9,K-ON!: Live House!,6862,80,COMPLETED
brettyoshi9,Yahari Ore no Seishun Love Come wa Machigatteiru.: Kochira to Shite mo Karera Kanojora no Yukusue ni Sachi Ookaran Koto wo Negawazaru wo Enai.,18753,80,COMPLETED
brettyoshi9,K-ON!!,7791,100,COMPLETED
brettyoshi9,K-ON!!: Keikaku!,9734,80,COMPLETED
brettyoshi9,K-ON! Movie,9617,100,COMPLETED
brettyoshi9,Ao no 6-gou,1051,45,COMPLETED
brettyoshi9,Yoru wa Mijikashi Arukeyo Otome,97917,70,COMPLETED
brettyoshi9,Yokohama Kaidashi Kikou,975,50,COMPLETED
brettyoshi9,Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu,102976,50,COMPLETED
brettyoshi9,Black★Rock Shooter (OVA),7059,65,COMPLETED
brettyoshi9,Paprika,1943,55,COMPLETED
brettyoshi9,Kotonoha no Niwa,16782,50,COMPLETED
brettyoshi9,Gintama: Jump Festa 2005 Special,2951,80,COMPLETED
brettyoshi9,Gintama: Jump Festa 2008 Special,6945,70,COMPLETED
brettyoshi9,Gintama: Dai Hanseikai,10643,70,COMPLETED
